Date/Time,Word Count,de,en,fr,lb
2023.11.08-19.08.46,0,0,0,0,0
2023.11.08-19.12.28,45,45,0,0,0
2023.11.08-19.16.38,3,3,0,0,0
2023.11.08-19.19.38,3,3,3,0,0
2023.11.08-19.22.43,3,3,3,3,3
2023.11.08-19.53.49,3,3,2,2,2
2023.11.08-19.55.29,3,3,3,3,3
2023.11.18-15.12.13,223,223,3,3,3
2023.11.18-15.15.48,223,223,0,0,0
2023.11.18-15.32.08,223,223,0,0,223
2023.12.10-17.32.37,223,223,223,223,223
2023.12.12-15.48.44,258,258,223,223,223
2023.12.12-15.55.15,258,258,258,258,258
2023.12.12-17.08.14,268,268,258,258,258
2023.12.12-17.10.58,268,268,268,268,268
